num,id,address1,address2,lat,lon
2,74DA3895C4EE,???????,??????????????,24.29,120.581
3,74DA3895C4FC,???????,?????????????50?,24.276,120.574
4,74DA3895C4F6,???????,?????????336?,24.279,120.556
5,74DA3895C262,???_???,?????????23-12?,24.25,120.555
6,74DA3895C4A6,???????,?????????125?,24.266,120.573
7,74DA3895C25A,???????,????????????209?,24.25,120.559
8,74DA3895C248,???????,?????????45?,24.235,120.535
9,74DA3895C25C,???????,????????????2?15?,24.25,120.538
10,74DA3895C240,???????,????????????343?,24.243,120.542
11,74DA3895C246,???????,???????????160?,24.229,120.532
12,74DA3895C4C8,???????,??????????????206?,24.216,120.526
13,74DA3895C2A6,???????,??????????????165?50?,24.201,120.522
14,74DA3895C374,???????,????????????162?,24.196,120.547
15,74DA3895C500,???????,?????????????????,24.213,120.55
16,74DA3895C24A,???????,????????????100?,24.239,120.554
18,74DA3895C53C,???????,????????????,24.154,120.546
19,74DA3895C568,???????,????????????630?,24.163,120.544
20,74DA3895C532,????,"(24.181,120.574)",24.159,120.567
21,74DA3895C5C6,???????,"(24.17067,120.5746)",24.168,120.574
22,74DA3895E0E0,taichung14,"24.195?,120.56?",24.195,120.56
23,74DA3895C396,taichung 34,"24.266?,120.566?",24.266,120.566
24,74DA3895C2BA,taichung70,"24.215?,120.564?",24.215,120.564
25,74DA3895C3C2,taichung80,"24.242?,120.567?",24.242,120.567
26,74DA3895C324,taichung104,"24.226?,120.582?",24.226,120.582
28,74DA3895E0DE,taichung111,"24.194?,120.547?",24.194,120.547
30,74DA38AF4774,The air quality for Minyou Rd,"24.279?,120.565?",24.279,120.565
31,74DA3895C454,???????,"(24.31168,120.56261)",24.312,120.561
33,74DA3895C2F2,??????,"(24.299,120.577)",24.299,120.577
35,74DA38C7CED4,taichung135-_?,"(24.267,120.578)",24.267,120.578
40,74DA38B05240,airsong,"(24.204,120.561)",24.204,120.561
43,74DA3895C4CE,SliverStar03,"(24.113,120.503)",24.113,120.503
44,74DA3895C3F0,SilverStar02,"(24.126,120.512)",24.126,120.512
45,74DA38AF4894,??-RETH????,"(24.119,120.522)",24.119,120.522
